COUNTY_MUNI_CODE,Latitude,Longitude
US29153,36.64946091152224,-92.4446727805278
US29155,36.21170109189727,-89.78534470163041
US29157,37.70725629236724,-89.82443490941522
US29159,38.72859122657061,-93.28508219560392
US29161,37.87746656218419,-91.79223806398154
US29163,39.3440611350064,-91.17139328363906
US29165,39.38056301681807,-94.77382219708116
US29167,37.61673305675663,-93.4005431706506
US29169,37.82488338690905,-92.20768654378888
US29171,40.47899512351789,-93.01614761417798
US29173,39.52789633699848,-91.52196485207122
US29175,39.44037376223594,-92.49709306853354
US29177,39.3525633329763,-93.98986107008083
US29179,37.36277217426149,-90.96917351064675
US29181,36.65298472130561,-90.8639002612192
US29183,38.78214499834252,-90.67477499404345
US29185,38.03738512287409,-93.7759903278012
US29186,37.89461369527105,-90.19444856105234
US29187,37.81056626652757,-90.47232910537024
US29189,38.64091569923688,-90.44334100576354
US29195,39.13710848542454,-93.20179796858496
US29197,40.47038592553721,-92.5209413749332
US29199,40.45276443110015,-92.14704501791
US29201,37.0532065932228,-89.56856321174287
US29203,37.15782417428967,-91.40049421144111
US29205,39.79795180950344,-92.07659603462218
US29207,36.85593319050457,-89.9443313673534
US29209,36.74742123847092,-93.456004652609
US29211,40.21086654008575,-93.1115204662754
US29213,36.65491637122631,-93.04112634582938
US29215,37.31778894982901,-91.96509815892117
US29217,37.85085969127466,-94.34244701842309
US29219,38.7647937534935,-91.16073315532924
US29221,37.9620370762036,-90.87744642661696
US29223,37.11285865332925,-90.46143077377596
US29225,37.28118232227094,-92.87588922093182
US29227,40.47920032741509,-94.42210950752762
US29229,37.2704231662337,-92.46871096470822
US29510,38.63586904452692,-90.2450875221501
US30001,45.13673318767704,-112.901070007387
US30003,45.42532341870058,-107.490088176159
US30005,48.43618351234628,-108.9580440647499
US30007,46.33348398186136,-111.4954467904815
US30009,45.2280242887492,-109.0280529127669
US30011,45.51931866347643,-104.5362468299648
US30013,47.30912301955798,-111.3472813012077
US30015,47.88195942073271,-110.4351118546092
US30017,46.25481462787139,-105.5719353604528
US30019,48.78431265074655,-105.5486945459014
US30021,47.26782290565485,-104.8999197307085
US30023,46.06119303692468,-113.0675143819191
US30025,46.33493917005884,-104.4175573838569
US30027,47.26584067187659,-109.2244250833989
US30029,48.29840907860099,-114.0509612989312
US30031,45.54551993722426,-111.1702194017995
US30033,47.27957801272814,-106.9925856342224
US30035,48.70608655811147,-112.9949618212771
US30037,46.38225085570979,-109.1749844245689
US30039,46.40571783141691,-113.4401952204937
US30041,48.62961229080515,-110.1113402814966
US30043,46.14956855807017,-112.0937951646511
US30045,47.04645786039519,-110.2663116607244
US30047,47.64735904815112,-114.0893959960652
US30049,47.125470543387,-112.3920247228085
US30051,48.56363854840859,-111.024480521699
US30053,48.54486463328229,-115.405035302866
US30055,47.6471480010415,-105.7952792245292
US30057,45.30285042690365,-111.9207617382544
US30059,46.59961224052854,-110.886417244596
US30061,47.14830698935352,-114.9991941956253
US30063,47.03818632310402,-113.9232405187834
US30065,46.49727101616512,-108.3980038917453
US30067,45.49164400028859,-110.5267902797642
US30069,47.11897885705311,-108.2500675972187
US30071,48.26421744513253,-107.9120446948137
US30073,48.22831359193344,-112.2270267887886
US30075,45.39636815265526,-105.6301061093852
US30077,46.8601743254562,-112.9376386582577
US30079,46.86129576398251,-105.3787378698119
US30081,46.08417373555989,-114.1205602875279
US30083,47.78892993734079,-104.5618031842408
US30085,48.29505127928563,-105.0166746836711
US30087,46.23566543453493,-106.732254883906
US30089,47.67647009281016,-115.1349770304505
US30091,48.72202658711466,-104.5048549371929
US30093,45.90281254535245,-112.6567315755588
US30095,45.67081109580589,-109.3941858543093
US30097,45.81561817973883,-109.9408121804585
US30099,47.83783793911232,-112.2408113632733
US30101,48.65658886621727,-111.6958765436587
US30103,46.2121888445113,-107.2718960064675
US30105,48.36884790409666,-106.6668005605931
US30107,46.46684203649294,-109.8445445863017
US30109,46.96661808575451,-104.2487691584785
US30111,45.93883463464088,-108.2735910998777
US31001,40.52469491763985,-98.50120924612378
US31003,42.17744102554877,-98.06668724491648
US31005,41.56913620604495,-101.6958293154701
US31007,41.54611856034659,-103.7104591328953
US31009,41.91299321047335,-99.97690030230626
US31011,41.70712659665153,-98.06724185552108
US31013,42.22012864826406,-103.0857294194955
US31015,42.89976672348421,-98.76656328754152
US31017,42.43097416573845,-99.92956529684216
US31019,40.85543057976366,-99.07496320706132
US31021,41.85177208898596,-96.3286414246144
US31023,41.22632833778255,-97.13174995545648
US31025,40.9098444254118,-96.140848661008
